Question,Expected Output,Answer (Query)
23. How do you retrieve customers with more than three transactions?,customer_id = 601,SELECT customer_id FROM transactions GROUP BY customer_id HAVING COUNT(transaction_id) > 3;
24. How do you calculate the difference between maximum and minimum transaction amounts for each customer?,"customer_id = 701, amount_difference = 4500","SELECT customer_id, MAX(amount) - MIN(amount) as amount_difference FROM transactions GROUP BY customer_id;"
25. How do you select all columns from a table?,All columns and rows displayed,SELECT * FROM table_name;
26. How do you select specific columns from a table?,"column1, column2","SELECT column1, column2 FROM table_name;"
27. How do you sort records in SQL?,Sorted records,`SELECT * FROM table_name ORDER BY column1 ASC
28. How do you group records in SQL?,Grouped records,"SELECT column1, COUNT(*) FROM table_name GROUP BY column1;"
29. What is the purpose of the HAVING clause?,Filtered aggregate records,"SELECT column1, COUNT(*) FROM table_name GROUP BY column1 HAVING COUNT(*) > 1;"
30. How do you find the top 5 highest earning products by category?,"category = Electronics, total_sales = 500000","SELECT category, SUM(sales) as total_sales FROM sales GROUP BY category ORDER BY total_sales DESC LIMIT 5;"
31. How do you retrieve customer names with orders over $1000?,"customer_name = Alice, order_amount = 1500","SELECT customers.name, orders.order_amount FROM customers INNER JOIN orders ON customers.customer_id = orders.customer_id WHERE orders.order_amount > 1000;"
32. How do you find the number of employees in each city?,"city = New York, COUNT(employee_id) = 100","SELECT city, COUNT(employee_id) FROM employees GROUP BY city;"
33. How do you calculate the average order value per customer?,"customer_id = 304, AVG(order_value) = 250","SELECT customer_id, AVG(order_value) FROM orders GROUP BY customer_id;"
34. How do you retrieve products with a price above average?,"product_name = Laptop, price = 1200","SELECT product_name, price FROM products WHERE price > (SELECT AVG(price) FROM products);"
35. How do you find the total transaction count for each payment method?,"payment_method = Credit Card, COUNT(*) = 5000","SELECT payment_method, COUNT(*) FROM transactions GROUP BY payment_method;"
36. How do you find customers with no orders in the last year?,customer_id = 102,SELECT customer_id FROM customers WHERE customer_id NOT IN (SELECT DISTINCT customer_id FROM orders WHERE YEAR(order_date) = 2023);
37. How do you find the largest order for each customer?,"customer_id = 205, MAX(order_value) = 2500","SELECT customer_id, MAX(order_value) FROM orders GROUP BY customer_id;"
38. How do you find the customers who ordered the most in 2023?,"customer_id = 302, total_orders = 20","`SELECT customer_id, COUNT(order_id) as total_orders"
22. Customer Orders: Join Orders and Customers to show each order with the customer's contact details. What if some orders have no associated customer?,"order_id = 1101, contact_info = ""john.doe@example.com"""," SELECT Orders.order_id, Customers.contact_info FROM Orders INNER JOIN Customers ON Orders.customer_id = Customers.id;"
23. Hotel Bookings: Retrieve booking information from Bookings and Rooms to show each booking with room details. What if some bookings are for rooms that no longer exist?,"booking_id = 1201, room_type = ""Deluxe"", check_in_date = ""2024-08-15"""," SELECT Bookings.booking_id, Rooms.room_type, Bookings.check_in_date FROM Bookings INNER JOIN Rooms ON Bookings.room_id = Rooms.id;"
24. Research Projects: Combine Projects and Researchers to list project names with the names of researchers. What if some projects do not have any assigned researchers?,"project_name = ""AI for Healthcare"", researcher_name = ""Dr. Emily Adams"""," SELECT Projects.project_name, Researchers.researcher_name FROM Projects INNER JOIN Researchers ON Projects.researcher_id = Researchers.id;"
25. Product Reviews: Join Reviews and Products to show each review with product details. What happens if some reviews reference products that are no longer available?,"review_id = 1301, product_name = ""Laptop Pro"", rating = 4.5"," SELECT Reviews.review_id, Products.product_name, Reviews.rating FROM Reviews INNER JOIN Products ON Reviews.product_id = Products.id;"
26. Transportation Logistics: Retrieve shipment details from Shipments and Transporters to show each shipment with transporter information. What if some shipments have no assigned transporter?,"shipment_id = 1401, transporter_name = ""Global Freight"", delivery_date = ""2024-08-20"""," SELECT Shipments.shipment_id, Transporters.transporter_name, Shipments.delivery_date FROM Shipments INNER JOIN Transporters ON Shipments.transporter_id = Transporters.id;"
27. Event Attendees: Join EventAttendees and Events to list attendee names with event details. What if some attendees are not registered for any event?,"attendee_name = ""David Brown"", event_name = ""Networking Gala"""," SELECT EventAttendees.attendee_name, Events.event_name FROM EventAttendees INNER JOIN Events ON EventAttendees.event_id = Events.id;"
28. Supplier Orders: Combine SupplierOrders and Suppliers to show each order along with supplier details. What if some orders are from suppliers who are no longer in the system?,"order_id = 1501, supplier_name = ""ABC Supplies"", order_date = ""2024-08-01"""," SELECT SupplierOrders.order_id, Suppliers.supplier_name, SupplierOrders.order_date FROM SupplierOrders INNER JOIN Suppliers ON SupplierOrders.supplier_id = Suppliers.id;"
29. Job Applications: Retrieve applicant details from Applications and Jobs to show each application with job details. What if some applications refer to jobs that are no longer available?,"application_id = 1601, job_title = ""Software Engineer"", application_date = ""2024-07-30"""," SELECT Applications.application_id, Jobs.job_title, Applications.application_date FROM Applications INNER JOIN Jobs ON Applications.job_id = Jobs.id;"
30. Course Enrollments: Join CourseEnrollments and Courses to list enrolled students with their course details. What if some enrollments refer to courses that have been deleted?,"student_id = 1701, course_name = ""Introduction to AI"", enrollment_date = ""2024-08-01"""," SELECT CourseEnrollments.student_id, Courses.course_name, CourseEnrollments.enrollment_date FROM CourseEnrollments INNER JOIN Courses ON CourseEnrollments.course_id = Courses.id;"
31. Library Transactions: Combine LibraryTransactions and Books to show each transaction with book details. What happens if some transactions reference books that have been removed?,"transaction_id = 1801, title = ""1984"", transaction_date = ""2024-08-05"""," SELECT LibraryTransactions.transaction_id, Books.title, LibraryTransactions.transaction_date FROM LibraryTransactions INNER JOIN Books ON LibraryTransactions.book_id = Books.id;"
39. How do you calculate the total revenue by quarter for 2023?,"quarter = Q1, total_revenue = 1000000","SELECT QUARTER(transaction_date) as quarter, SUM(amount) as total_revenue FROM transactions WHERE YEAR(transaction_date) = 2023 GROUP BY quarter;"
40. How do you find employees hired in the last 6 months?,"employee_id = 406, hire_date = '2023-03-01'",SELECT * FROM employees WHERE hire_date >= CURDATE() - INTERVAL 6 MONTH;
41. How do you retrieve orders shipped in a specific region?,"order_id = 1080, region = West",SELECT * FROM orders WHERE region = 'West';
42. How do you find the customer with the highest number of returns?,"customer_id = 505, return_count = 15","SELECT customer_id, COUNT(return_id) as return_count FROM returns GROUP BY customer_id ORDER BY return_count DESC LIMIT 1;"
43. How do you find the average time between orders for each customer?,"customer_id = 306, avg_days_between_orders = 30","SELECT customer_id, AVG(DATEDIFF(LEAD(order_date, 1) OVER (PARTITION BY customer_id ORDER BY order_date), order_date)) as avg_days_between_orders FROM orders GROUP BY customer_id;"
44. How do you find the most common product category?,"category = Apparel, count = 1000","SELECT category, COUNT(*) as count FROM products GROUP BY category ORDER BY count DESC LIMIT 1;"
45. How do you find orders with a delivery date after the estimated date?,"order_id = 1100, delivery_date = '2023-08-05'",SELECT * FROM orders WHERE delivery_date > estimated_delivery_date;
46. How do you identify products with decreasing sales over three months?,"product_id = 402, decreasing_sales = true",SELECT product_id FROM sales WHERE sales_date >= CURDATE() - INTERVAL 3 MONTH GROUP BY product_id HAVING SUM(sales) < (SELECT SUM(sales) FROM sales WHERE sales_date >= CURDATE() - INTERVAL 6 MONTH AND sales_date < CURDATE() - INTERVAL 3 MONTH GROUP BY product_id);
47. How do you find the employees who manage the most projects?,"employee_id = 508, project_count = 8","SELECT manager_id, COUNT(project_id) as project_count FROM projects GROUP BY manager_id ORDER BY project_count DESC LIMIT 1;"
48. How do you find the total number of products sold in each category?,"category = Home Goods, total_sold = 15000","SELECT category, SUM(quantity_sold) as total_sold FROM sales GROUP BY category;"
49. How do you find the suppliers who provide the highest number of products?,"supplier_id = 610, product_count = 300","SELECT supplier_id, COUNT(product_id) as product_count FROM products GROUP BY supplier_id ORDER BY product_count DESC LIMIT 1;"
50. How do you calculate the customer lifetime value (CLV)?,"customer_id = 102, CLV = 5000","SELECT customer_id, SUM(amount) as CLV FROM transactions GROUP BY customer_id;"
32. Order Details: Join Orders and Products to show order details with product names.,"order_id = 2001, product_name = ""Bluetooth Speaker"""," SELECT Orders.order_id, Products.product_name FROM Orders INNER JOIN Products ON Orders.product_id = Products.id;"
33. Student Grades: Combine Grades and Students to show student names and their grades.,"student_name = ""Jake White"", grade = ""A"""," SELECT Students.name, Grades.grade FROM Grades INNER JOIN Students ON Grades.student_id = Students.id;"
34. Customer Addresses: List customer orders and their addresses.,"order_id = 2101, address = ""123 Maple Ave"""," SELECT Orders.order_id, Customers.address FROM Orders INNER JOIN Customers ON Orders.customer_id = Customers.id;"
35. Product Suppliers: Get product names and their suppliers.,"product_name = ""Smartwatch"", supplier_name = ""TechSupply Inc."""," SELECT Products.product_name, Suppliers.supplier_name FROM Products INNER JOIN Suppliers ON Products.supplier_id = Suppliers.id;"
36. Rental Equipment: Show rentals with equipment details.,"rental_id = 2201, equipment_name = ""Projector"""," SELECT Rentals.rental_id, Equipment.equipment_name FROM Rentals INNER JOIN Equipment ON Rentals.equipment_id = Equipment.id;"
37. Event Registrations: List registrants and their events.,"registrant_name = ""Sara Miller"", event_name = ""Annual Gala"""," SELECT Registrants.name, Events.event_name FROM Registrants INNER JOIN Events ON Registrants.event_id = Events.id;"
38. Employee Departments: Show employees and their departments.,"employee_name = ""Michael Green"", department_name = ""Marketing"""," SELECT Employees.name, Departments.department_name FROM Employees INNER JOIN Departments ON Employees.department_id = Departments.id;"
39. Library Books: Join Books and Authors to list books and their authors.,"book_title = ""War and Peace"", author_name = ""Leo Tolstoy"""," SELECT Books.title, Authors.name FROM Books INNER JOIN Authors ON Books.author_id = Authors.id;"
40. Order Payments: Retrieve orders with payment information.,"order_id = 2301, payment_amount = ""$150.00"""," SELECT Orders.order_id, Payments.amount FROM Orders INNER JOIN Payments ON Orders.payment_id = Payments.id;"
41. Conference Speakers: Show conference details with speaker names.,"conference_name = ""Tech Innovators"", speaker_name = ""Dr. Alan Smith"""," SELECT Conferences.name, Speakers.speaker_name FROM Conferences INNER JOIN Speakers ON Conferences.speaker_id = Speakers.id;"
42. Delivery Shipments: Join Deliveries and Shipments to show delivery details with shipment info.,"delivery_id = 2401, shipment_details = ""2 boxes, Fragile"""," SELECT Deliveries.delivery_id, Shipments.details FROM Deliveries INNER JOIN Shipments ON Deliveries.shipment_id = Shipments.id;"
43. Customer Reviews: List customer reviews with product names.,"review_id = 2501, product_name = ""Air Purifier"", review_rating = ""5 stars"""," SELECT Reviews.review_id, Products.product_name, Reviews.rating FROM Reviews INNER JOIN Products ON Reviews.product_id = Products.id;"
44. Employee Salaries: Retrieve employee salaries and their departments.,"employee_name = ""Sophia Clark"", salary = ""$85,000"""," SELECT Employees.name, Employees.salary, Departments.department_name FROM Employees INNER JOIN Departments ON Employees.department_id = Departments.id;"
45. Sales Data: Show sales and their respective products.,"sale_id = 2601, product_name = ""Electric Drill"", quantity_sold = 5"," SELECT Sales.sale_id, Products.product_name, Sales.quantity FROM Sales INNER JOIN Products ON Sales.product_id = Products.id;"
46. Invoice Details: Join Invoices and Customers to list invoices with customer names.,"invoice_id = 2701, customer_name = ""Rachel Adams"""," SELECT Invoices.invoice_id, Customers.name FROM Invoices INNER JOIN Customers ON Invoices.customer_id = Customers.id;"
47. Course Instructors: Show courses and their instructors.,"course_name = ""Advanced Python"", instructor_name = ""Dr. Mark Jones"""," SELECT Courses.course_name, Instructors.instructor_name FROM Courses INNER JOIN Instructors ON Courses.instructor_id = Instructors.id;"
48. Warranty Claims: Retrieve warranty claims and associated products.,"claim_id = 2801, product_name = ""Coffee Maker"", claim_date = ""2024-08-02"""," SELECT WarrantyClaims.claim_id, Products.product_name, WarrantyClaims.claim_date FROM WarrantyClaims INNER JOIN Products ON WarrantyClaims.product_id = Products.id;"
49. Product Orders: Join Orders and Products to list orders and their product names.,"order_id = 2901, product_name = ""Wireless Mouse"""," SELECT Orders.order_id, Products.product_name FROM Orders INNER JOIN Products ON Orders.product_id = Products.id;"
50. Workshop Attendees: Show workshops and attendees' names.,"workshop_name = ""Digital Marketing"", attendee_name = ""Paul Green"""," SELECT Workshops.name, Attendees.name FROM Attendees INNER JOIN Workshops ON Attendees.workshop_id = Workshops.id;"
51. Sales Regions: List sales and the regions they were made in.,"sale_id = 3001, region = ""West Coast"""," SELECT Sales.sale_id, Regions.region_name FROM Sales INNER JOIN Regions ON Sales.region_id = Regions.id;"
52. Book Authors: Retrieve book titles and their authors.,"book_title = ""1984"", author_name = ""George Orwell"""," SELECT Books.title, Authors.name FROM Books INNER JOIN Authors ON Books.author_id = Authors.id;"
53. Training Sessions: Combine Sessions and Trainers to show sessions and their trainers.,"session_name = ""Leadership Skills"", trainer_name = ""John Smith"""," SELECT Sessions.session_name, Trainers.trainer_name FROM Sessions INNER JOIN Trainers ON Sessions.trainer_id = Trainers.id;"
54. Patient Appointments: List appointments with patient names and doctors.,"appointment_id = 3101, patient_name = ""Lisa Wong"", doctor_name = ""Dr. Lee"""," SELECT Appointments.appointment_id, Patients.name, Doctors.name FROM Appointments INNER JOIN Patients ON Appointments.patient_id = Patients.id INNER JOIN Doctors ON Appointments.doctor_id = Doctors.id;"
55. Subscription Plans: Show subscriptions with plan details.,"subscription_id = 3201, plan_name = ""Premium"", cost = ""$19.99"""," SELECT Subscriptions.subscription_id, Plans.plan_name, Plans.cost FROM Subscriptions INNER JOIN Plans ON Subscriptions.plan_id = Plans.id;"
56. Movie Ratings: Retrieve movies and their ratings.,"movie_title = ""The Matrix"", rating = ""4.8"""," SELECT Movies.title, Ratings.rating FROM Movies INNER JOIN Ratings ON Movies.id = Ratings.movie_id;"
57. Vendor Products: List products and their vendors.,"product_name = ""Tablet"", vendor_name = ""TechWorld"""," SELECT Products.product_name, Vendors.vendor_name FROM Products INNER JOIN Vendors ON Products.vendor_id = Vendors.id;"
58. Delivery Addresses: Join Deliveries and Addresses to show delivery details with addresses.,"delivery_id = 3301, address = ""456 Oak St"""," SELECT Deliveries.delivery_id, Addresses.address FROM Deliveries INNER JOIN Addresses ON Deliveries.address_id = Addresses.id;"
59. Course Assignments: Show courses with assigned instructors.,"course_name = ""Database Systems"", instructor_name = ""Dr. Johnson"""," SELECT Courses.course_name, Instructors.instructor_name FROM Courses INNER JOIN Instructors ON Courses.instructor_id = Instructors.id;"
60. Purchase Orders: Retrieve purchase orders with supplier details.,"purchase_order_id = 3401, supplier_name = ""Office Supplies Co."""," SELECT PurchaseOrders.purchase_order_id, Suppliers.supplier_name FROM PurchaseOrders INNER JOIN Suppliers ON PurchaseOrders.supplier_id = Suppliers.id;"
61. Task Assignments: List tasks and the employees assigned to them.,"task_id = 3501, employee_name = ""Sandra Miller"""," SELECT Tasks.task_id, Employees.name FROM Tasks INNER JOIN Employees ON Tasks.employee_id = Employees.id;"
62. Product Categories: Join Products and Categories to list products with their categories.,"product_name = ""Air Conditioner"", category_name = ""Home Appliances"""," SELECT Products.product_name, Categories.category_name FROM Products INNER JOIN Categories ON Products.category_id = Categories.id;"
63. Rental Services: Show rentals and the service providers.,"rental_id = 3601, provider_name = ""QuickRent"""," SELECT Rentals.rental_id, ServiceProviders.provider_name FROM Rentals INNER JOIN ServiceProviders ON Rentals.provider_id = ServiceProviders.id;"
64. Membership Levels: List memberships with their level details.,"membership_id = 3701, level_name = ""Gold"", benefits = ""Free shipping"""," SELECT Memberships.membership_id, Levels.level_name, Levels.benefits FROM Memberships INNER JOIN Levels ON Memberships.level_id = Levels.id;"
65. Invoice Payments: Combine Invoices and Payments to show invoices with payment details.,"invoice_id = 3801, payment_amount = ""$120.00"""," SELECT Invoices.invoice_id, Payments.amount FROM Invoices INNER JOIN Payments ON Invoices.payment_id = Payments.id;"
66. Hotel Rooms: Retrieve room details and their types.,"room_id = 3901, room_type = ""Suite"""," SELECT Rooms.room_id, RoomTypes.room_type FROM Rooms INNER JOIN RoomTypes ON Rooms.room_type_id = RoomTypes.id;"
67. User Activities: Show user activities and their descriptions.,"user_id = 4001, activity_description = ""Login"""," SELECT Users.user_id, Activities.description FROM UserActivities INNER JOIN Activities ON UserActivities.activity_id = Activities.id;"
68. Supplier Contacts: List suppliers and their contact information.,"supplier_name = ""GreenTech"", contact_info = ""555-1234"""," SELECT Suppliers.supplier_name, Contacts.contact_info FROM Suppliers INNER JOIN Contacts ON Suppliers.contact_id = Contacts.id;"
69. Job Openings: Join Jobs and Departments to show job openings with department names.,"job_id = 4101, department_name = ""Engineering"""," SELECT Jobs.job_id, Departments.department_name FROM Jobs INNER JOIN Departments ON Jobs.department_id = Departments.id;"
70. Software Licenses: Retrieve software licenses and their types.,"license_id = 4201, license_type = ""Enterprise"""," SELECT Licenses.license_id, LicenseTypes.license_type FROM Licenses INNER JOIN LicenseTypes ON Licenses.license_type_id = LicenseTypes.id;"
71. Author Books: Join Books and Authors to list each book with its author.,"book_title = ""The Great Gatsby"", author_name = ""F. Scott Fitzgerald"""," SELECT Books.title, Authors.name FROM Books INNER JOIN Authors ON Books.author_id = Authors.id;"
72. Employee Projects: Show employees and the projects they are working on.,"employee_name = ""Alice Carter"", project_name = ""Website Redesign"""," SELECT Employees.name, Projects.project_name FROM Employees INNER JOIN Projects ON Employees.project_id = Projects.id;"
73. Membership Benefits: List membership plans with their benefits.,"membership_id = 4301, plan_name = ""Silver"", benefits = ""10% discount"""," SELECT Memberships.membership_id, Plans.plan_name, Plans.benefits FROM Memberships INNER JOIN Plans ON Memberships.plan_id = Plans.id;"
74. Service Orders: Retrieve service orders and their associated services.,"service_order_id = 4401, service_name = ""Cleaning"""," SELECT ServiceOrders.service_order_id, Services.service_name FROM ServiceOrders INNER JOIN Services ON ServiceOrders.service_id = Services.id;"
75. Customer Feedback: Show customer feedback with product details.,"feedback_id = 4501, product_name = ""Smartphone"", feedback = ""Excellent"""," SELECT Feedback.feedback_id, Products.product_name, Feedback.comments FROM Feedback INNER JOIN Products ON Feedback.product_id = Products.id;"
